Nom,Blues,Classical,Country,Disco,HipHop,Jazz,Metal,Pop,Reggae,Rock,ChoixMax
./Data/genres_original\blues\blues.00000.wav,0.970362,0.024738528,8.258473e-06,2.199861e-06,0.00022667894,0.0035296893,0.001113915,7.3889523e-06,1.3178181e-06,9.947874e-06,Blues
./Data/genres_original\blues\blues.00001.wav,0.0046583996,0.8226615,0.0037907276,4.722467e-05,0.003614241,0.13949521,0.022432497,1.1391601e-05,0.00017979204,0.0031090074,Classical
./Data/genres_original\blues\blues.00002.wav,0.9968598,0.0007117,2.4924857e-06,2.7381606e-07,0.00015688354,8.559861e-06,0.0022099821,3.1987318e-05,1.3109228e-07,1.8209545e-05,Blues
./Data/genres_original\blues\blues.00003.wav,0.60478693,0.19808766,0.012761582,0.00091601,0.024049835,0.034795083,0.109561265,0.0008999606,0.000945694,0.013195929,Blues
./Data/genres_original\blues\blues.00004.wav,2.4411947e-05,0.9947588,2.6791763e-06,4.718963e-09,4.755906e-07,0.0050986563,8.393501e-05,8.524724e-08,1.2672278e-07,3.077783e-05,Classical
./Data/genres_original\blues\blues.00005.wav,1.4395083e-06,0.9999008,4.284259e-09,6.480749e-10,4.2308447e-08,9.5876014e-05,9.451597e-07,1.0956459e-09,6.3636105e-07,2.8674336e-07,Classical
./Data/genres_original\blues\blues.00006.wav,0.502729,0.3974699,0.00017657522,9.485387e-07,6.786261e-05,0.098851725,0.0006330036,1.2840025e-05,5.0624585e-05,7.5262237e-06,Blues
./Data/genres_original\blues\blues.00007.wav,1.7277544e-05,0.9863588,2.2696313e-05,8.498402e-09,8.687131e-06,0.013574636,1.1311652e-05,4.0656807e-09,2.2354486e-06,4.3238288e-06,Classical
./Data/genres_original\blues\blues.00008.wav,0.88977987,0.08639788,0.00018539013,1.45184695e-05,0.0004397181,0.006296758,0.016437946,0.00023120923,2.0653886e-05,0.00019601449,Blues
./Data/genres_original\blues\blues.00009.wav,7.814516e-06,0.9986864,8.758241e-09,4.5175044e-10,1.7733075e-07,0.0012998107,4.8269712e-06,7.4980644e-10,5.6843703e-07,3.7158227e-07,Classical
./Data/genres_original\blues\blues.00010.wav,0.97463214,0.00060523005,4.9279024e-05,7.169239e-06,0.0042035696,0.020171631,0.00014525936,2.5042676e-05,0.00015982037,8.094822e-07,Blues
./Data/genres_original\blues\blues.00011.wav,4.9270657e-05,0.9971551,1.9173776e-06,1.6599812e-07,9.030767e-06,0.0027027917,5.0655523e-05,8.97004e-08,6.441337e-06,2.463668e-05,Classical
./Data/genres_original\blues\blues.00012.wav,0.0029428191,0.99165875,3.122647e-06,2.57712e-07,6.552007e-07,0.005277568,9.8464545e-05,2.7841452e-06,1.0626527e-05,4.900238e-06,Classical
./Data/genres_original\blues\blues.00013.wav,0.32600287,0.65836835,2.2072561e-05,2.5844153e-07,0.00042833717,0.0053308816,0.009686713,1.1347796e-05,7.4788154e-06,0.00014172461,Classical
./Data/genres_original\blues\blues.00014.wav,6.8896685e-07,0.9999002,2.6161027e-09,2.8224445e-10,3.4739944e-08,9.8342214e-05,2.5538222e-07,1.528595e-10,1.6224062e-07,1.8652366e-07,Classical
./Data/genres_original\blues\blues.00015.wav,3.6035162e-05,0.98838913,9.737319e-07,5.808976e-09,1.4284038e-06,0.011564271,5.456537e-06,2.8347973e-09,1.5767486e-06,1.0070021e-06,Classical
./Data/genres_original\blues\blues.00016.wav,0.026205702,0.9698659,1.2588481e-06,2.3508535e-06,5.8315663e-06,0.0035853193,0.0001723726,2.8808297e-05,0.00012014315,1.22677075e-05,Classical
./Data/genres_original\blues\blues.00017.wav,0.5117924,0.4029396,0.00011164413,1.8142857e-05,0.0055457987,0.06958254,0.009781131,2.0641517e-05,8.3665625e-05,0.00012454174,Blues
./Data/genres_original\blues\blues.00018.wav,0.000968085,0.8267866,0.00021620003,4.320538e-05,0.00082902686,0.16424935,0.0029339828,1.677433e-05,0.0031189492,0.0008379097,Classical
./Data/genres_original\blues\blues.00019.wav,0.012781345,0.9347899,4.3061964e-06,1.2484896e-05,0.00032857095,0.048061274,0.0018286506,5.839294e-06,0.0021303927,5.7243953e-05,Classical
./Data/genres_original\blues\blues.00020.wav,1.1623656e-05,0.9990901,5.909465e-08,8.387964e-08,8.858425e-06,0.0008471289,1.6533011e-05,2.4837231e-08,1.7117844e-05,8.457405e-06,Classical
./Data/genres_original\blues\blues.00021.wav,0.00015804009,0.9453498,0.00061230955,2.8014392e-07,0.00012193409,0.051658295,0.0015066216,5.703888e-07,4.299958e-06,0.00058782834,Classical
./Data/genres_original\blues\blues.00022.wav,1.5204968e-05,0.9982753,8.496727e-07,6.7992354e-09,2.1165997e-06,0.0016818548,1.9364947e-05,3.4430767e-09,2.5597676e-06,2.6832295e-06,Classical
./Data/genres_original\blues\blues.00023.wav,0.0052156234,0.9045636,9.655032e-05,6.386976e-07,0.00028840115,0.08902293,0.00068535417,6.1900084e-07,9.786317e-05,2.839736e-05,Classical
./Data/genres_original\blues\blues.00024.wav,0.9817925,0.001653847,3.1809817e-05,9.919511e-05,0.009192984,0.0015576156,0.0053887004,4.2847016e-05,6.19942e-05,0.00017845283,Blues
./Data/genres_original\blues\blues.00025.wav,0.011968413,0.75784045,0.00051373325,2.3387725e-05,0.0057273605,0.20407398,0.018976968,3.5631952e-06,0.00012230406,0.0007498997,Classical
./Data/genres_original\blues\blues.00026.wav,7.762402e-07,0.999918,1.6297946e-09,3.2908487e-10,2.4561464e-08,8.05416e-05,2.1700723e-07,3.7597372e-10,3.5055626e-07,9.339465e-08,Classical
./Data/genres_original\blues\blues.00027.wav,0.034090832,0.94733703,3.2140106e-05,2.883743e-06,4.0089137e-05,0.011821294,0.006375204,2.7474456e-05,6.7955752e-06,0.00026623253,Classical
./Data/genres_original\blues\blues.00028.wav,0.016522612,0.016284484,0.06680713,0.006214304,0.127948,0.010193674,0.64176667,0.0017489594,0.0024391026,0.110075034,Metal
./Data/genres_original\blues\blues.00029.wav,0.05994365,0.013534681,0.000477683,1.0261889e-06,0.00010167932,0.92584854,2.1292059e-05,1.5849992e-07,7.1031754e-05,3.2150874e-07,Jazz
./Data/genres_original\blues\blues.00030.wav,5.485463e-05,0.99462575,7.8567683e-07,3.0121214e-09,1.3507768e-07,0.005307704,7.791699e-06,8.055757e-08,1.2353186e-06,1.536628e-06,Classical
./Data/genres_original\blues\blues.00031.wav,0.9169273,0.07142957,7.896009e-06,2.0858141e-07,0.0010054243,0.0017511707,0.008841257,1.8081894e-06,1.4753479e-06,3.403263e-05,Blues
./Data/genres_original\blues\blues.00032.wav,0.0023524454,0.9748171,1.8534049e-05,8.1851107e-07,8.527023e-06,0.022201588,0.000500057,4.323738e-06,6.108978e-06,9.054513e-05,Classical
./Data/genres_original\blues\blues.00033.wav,0.024072284,0.52673805,0.00045214818,8.804813e-05,0.0029847405,0.09480482,0.34451485,0.00023267358,0.0006670065,0.0054453346,Classical
./Data/genres_original\blues\blues.00034.wav,0.005491273,0.9677899,1.1745118e-06,1.5776621e-06,4.9858896e-05,0.026017979,0.00043040555,2.9048913e-06,0.00020383918,1.1120145e-05,Classical
./Data/genres_original\blues\blues.00035.wav,0.7961023,0.09556491,0.00080431346,0.00036445417,0.005197958,0.09416265,0.0052604843,0.0006053303,0.0017661676,0.00017152094,Blues
./Data/genres_original\blues\blues.00036.wav,0.70485014,0.21241564,0.00012917626,0.000109517394,0.0004662008,0.00036541326,0.039231244,0.031307846,7.362824e-05,0.011051234,Blues
./Data/genres_original\blues\blues.00037.wav,6.4832584e-06,0.99830663,4.8592733e-07,2.204472e-08,1.5077795e-05,0.0015626695,3.306214e-05,2.6177736e-09,6.7762805e-05,7.889151e-06,Classical
./Data/genres_original\blues\blues.00038.wav,0.07138704,0.005009003,0.00119472,0.0002228851,0.032019105,0.000599837,0.86949915,0.00023559527,3.9935687e-05,0.019792696,Metal
./Data/genres_original\blues\blues.00039.wav,6.837683e-07,0.99868816,5.8541467e-08,9.611985e-09,4.268774e-06,0.0012837163,9.089698e-07,3.8124166e-09,1.9233965e-05,2.9660896e-06,Classical
