Nom;Blues;Classical;Country;Disco;HipHop;Jazz;Metal;Pop;Reggae;Rock;ChoixMax
./Data/genres_original\blues\blues.00000.wav;0.970362;0.024738528;8.26E-06;2.20E-06;0.000226679;0.003529689;0.001113915;7.39E-06;1.32E-06;9.95E-06;Blues
./Data/genres_original\blues\blues.00001.wav;0.0046584;0.8226615;0.003790728;4.72E-05;0.003614241;0.13949521;0.022432497;1.14E-05;0.000179792;0.003109007;Classical
./Data/genres_original\blues\blues.00002.wav;0.9968598;0.0007117;2.49E-06;2.74E-07;0.000156884;8.56E-06;0.002209982;3.20E-05;1.31E-07;1.82E-05;Blues
./Data/genres_original\blues\blues.00003.wav;0.60478693;0.19808766;0.012761582;0.00091601;0.024049835;0.034795083;0.109561265;0.000899961;0.000945694;0.013195929;Blues
./Data/genres_original\blues\blues.00004.wav;2.44E-05;0.9947588;2.68E-06;4.72E-09;4.76E-07;0.005098656;8.39E-05;8.52E-08;1.27E-07;3.08E-05;Classical
./Data/genres_original\blues\blues.00005.wav;1.44E-06;0.9999008;4.28E-09;6.48E-10;4.23E-08;9.59E-05;9.45E-07;1.10E-09;6.36E-07;2.87E-07;Classical
./Data/genres_original\blues\blues.00006.wav;0.502729;0.3974699;0.000176575;9.49E-07;6.79E-05;0.098851725;0.000633004;1.28E-05;5.06E-05;7.53E-06;Blues
./Data/genres_original\blues\blues.00007.wav;1.73E-05;0.9863588;2.27E-05;8.50E-09;8.69E-06;0.013574636;1.13E-05;4.07E-09;2.24E-06;4.32E-06;Classical
./Data/genres_original\blues\blues.00008.wav;0.88977987;0.08639788;0.00018539;1.45E-05;0.000439718;0.006296758;0.016437946;0.000231209;2.07E-05;0.000196014;Blues
./Data/genres_original\blues\blues.00009.wav;7.81E-06;0.9986864;8.76E-09;4.52E-10;1.77E-07;0.001299811;4.83E-06;7.50E-10;5.68E-07;3.72E-07;Classical
./Data/genres_original\blues\blues.00010.wav;0.97463214;0.00060523;4.93E-05;7.17E-06;0.00420357;0.020171631;0.000145259;2.50E-05;0.00015982;8.09E-07;Blues
./Data/genres_original\blues\blues.00011.wav;4.93E-05;0.9971551;1.92E-06;1.66E-07;9.03E-06;0.002702792;5.07E-05;8.97E-08;6.44E-06;2.46E-05;Classical
./Data/genres_original\blues\blues.00012.wav;0.002942819;0.99165875;3.12E-06;2.58E-07;6.55E-07;0.005277568;9.85E-05;2.78E-06;1.06E-05;4.90E-06;Classical
./Data/genres_original\blues\blues.00013.wav;0.32600287;0.65836835;2.21E-05;2.58E-07;0.000428337;0.005330882;0.009686713;1.13E-05;7.48E-06;0.000141725;Classical
./Data/genres_original\blues\blues.00014.wav;6.89E-07;0.9999002;2.62E-09;2.82E-10;3.47E-08;9.83E-05;2.55E-07;1.53E-10;1.62E-07;1.87E-07;Classical
./Data/genres_original\blues\blues.00015.wav;3.60E-05;0.98838913;9.74E-07;5.81E-09;1.43E-06;0.011564271;5.46E-06;2.83E-09;1.58E-06;1.01E-06;Classical
./Data/genres_original\blues\blues.00016.wav;0.026205702;0.9698659;1.26E-06;2.35E-06;5.83E-06;0.003585319;0.000172373;2.88E-05;0.000120143;1.23E-05;Classical
./Data/genres_original\blues\blues.00017.wav;0.5117924;0.4029396;0.000111644;1.81E-05;0.005545799;0.06958254;0.009781131;2.06E-05;8.37E-05;0.000124542;Blues
./Data/genres_original\blues\blues.00018.wav;0.000968085;0.8267866;0.0002162;4.32E-05;0.000829027;0.16424935;0.002933983;1.68E-05;0.003118949;0.00083791;Classical
./Data/genres_original\blues\blues.00019.wav;0.012781345;0.9347899;4.31E-06;1.25E-05;0.000328571;0.048061274;0.001828651;5.84E-06;0.002130393;5.72E-05;Classical
./Data/genres_original\blues\blues.00020.wav;1.16E-05;0.9990901;5.91E-08;8.39E-08;8.86E-06;0.000847129;1.65E-05;2.48E-08;1.71E-05;8.46E-06;Classical
./Data/genres_original\blues\blues.00021.wav;0.00015804;0.9453498;0.00061231;2.80E-07;0.000121934;0.051658295;0.001506622;5.70E-07;4.30E-06;0.000587828;Classical
./Data/genres_original\blues\blues.00022.wav;1.52E-05;0.9982753;8.50E-07;6.80E-09;2.12E-06;0.001681855;1.94E-05;3.44E-09;2.56E-06;2.68E-06;Classical
./Data/genres_original\blues\blues.00023.wav;0.005215623;0.9045636;9.66E-05;6.39E-07;0.000288401;0.08902293;0.000685354;6.19E-07;9.79E-05;2.84E-05;Classical
./Data/genres_original\blues\blues.00024.wav;0.9817925;0.001653847;3.18E-05;9.92E-05;0.009192984;0.001557616;0.0053887;4.28E-05;6.20E-05;0.000178453;Blues
./Data/genres_original\blues\blues.00025.wav;0.011968413;0.75784045;0.000513733;2.34E-05;0.005727361;0.20407398;0.018976968;3.56E-06;0.000122304;0.0007499;Classical
./Data/genres_original\blues\blues.00026.wav;7.76E-07;0.999918;1.63E-09;3.29E-10;2.46E-08;8.05E-05;2.17E-07;3.76E-10;3.51E-07;9.34E-08;Classical
./Data/genres_original\blues\blues.00027.wav;0.034090832;0.94733703;3.21E-05;2.88E-06;4.01E-05;0.011821294;0.006375204;2.75E-05;6.80E-06;0.000266233;Classical
./Data/genres_original\blues\blues.00028.wav;0.016522612;0.016284484;0.06680713;0.006214304;0.127948;0.010193674;0.64176667;0.001748959;0.002439103;0.110075034;Metal
